season,transfer_window,player_name,league_moving_from,club_moving_from,league_moving_to,clusb_moving_to,fee,date
2010-2011,Winter,Andrew Carroll,Premier,Newcastle United,Premier,Liverpool,35000000,31/01/11
2010-2011,Winter,Conor Sammon,NoneEPLChamp,Kilmarnock,Premier,Wigan Athletic,600000,31/01/11
2010-2011,Winter,David Ball,Premier,Manchester City,NoneEPLChamp,Peterborough United,Undisclosed,31/01/11
2010-2011,Winter,David Luiz,NoneEPLChamp,Benfica,Premier,Chelsea,21300000,31/01/11
2010-2011,Winter,Fernando Torres,Premier,Liverpool,Premier,Chelsea,50000000,31/01/11
2010-2011,Winter,Mauro Formica,NoneEPLChamp,Newell's Old Boys,Premier,Blackburn Rovers,3000000,31/01/11
2010-2011,Winter,Nacer Barazite,Premier,Arsenal,NoneEPLChamp,Austria Vienna,Free,31/01/11
2010-2011,Winter,Paul McCallum,NoneEPLChamp,Dulwich Hamlet,Premier,West Ham United,Undisclosed,31/01/11
2010-2011,Winter,Ruben Rochina,NoneEPLChamp,Barcelona,Premier,Blackburn Rovers,Undisclosed,31/01/11
2010-2011,Winter,Apostolos Vellios,NoneEPLChamp,Iraklis,Premier,Everton,Nominal,31/01/11
2010-2011,Winter,Adriano Basso,NoneEPLChamp,Unattached,Premier,Wolverhampton Wanderers,Free,31/01/11
2010-2011,Winter,David Elm,Premier,Fulham,NoneEPLChamp,Elfsborg,Undisclosed,31/01/11
2010-2011,Winter,Andy Reid,Premier,Sunderland,Premier,Blackpool,1000000,31/01/11
2010-2011,Winter,Cameron Stewart,Premier,Manchester United,Championship,Hull City,undisclosed,31/01/11
2010-2011,Winter,Paulo Da Silva,Premier,Sunderland,NoneEPLChamp,Real Zaragoza,undisclosed,31/01/11
2010-2011,Winter,Tuncay Sanli,Premier,Stoke City,NoneEPLChamp,Vfl Wolfsburg,Undisclosed,31/01/11
2010-2011,Winter,Luis Suarez,NoneEPLChamp,Ajax,Premier,Liverpool,23000000,31/01/11
2010-2011,Winter,David Healy,Premier,Sunderland,NoneEPLChamp,Rangers,Free,30/01/11
