1,Andrew Carroll,,Newcastle United,,Liverpool,35000000,31/01/11
2,Conor Sammon,,Kilmarnock,,Wigan Athletic,600000,31/01/11
3,David Ball,,Manchester City,,Peterborough United,Undisclosed,31/01/11
4,David Luiz,,Benfica,,Chelsea,21300000,31/01/11
5,Fernando Torres,,Liverpool,,Chelsea,50000000,31/01/11
6,Mauro Fórmica,,Newell's Old Boys,,Blackburn Rovers,3000000,31/01/11
7,Nacer Barazite,,Arsenal,,Austria Vienna,Free,31/01/11
8,Paul McCallum,,Dulwich Hamlet,,West Ham United,Undisclosed,31/01/11
9,Ruben Rochina,,Barcelona,,Blackburn Rovers,Undisclosed,31/01/11
10,Apostolos Vellios,,Iraklis,,Everton,Nominal,31/01/11
11,Adriano Basso,,Unattached,,Wolverhampton Wanderers,Free,31/01/11
12,David Elm,,Fulham,,Elfsborg,Undisclosed,31/01/11
13,Andy Reid,,Sunderland,,Blackpool,1000000,31/01/11
14,Cameron Stewart,,Manchester United,,Hull City,undisclosed,31/01/11
15,Paulo Da Silva,,Sunderland,,Real Zaragoza,undisclosed,31/01/11
16,Tuncay Sanli,,Stoke City,,Vfl Wolfsburg,Undisclosed,31/01/11
17,Luis Suarez,,Ajax,,Liverpool,23000000,31/01/11
18,David Healy,,Sunderland,,Rangers,Free,30/01/11
19,Stephane Sessegnon,,Paris Saint-Germain ,,Sunderland,6000000,29/01/11
20,Curtis Davies,,Aston Villa,,Birmingham,3500000,28/01/11
21,Demba Ba,,TSG Hoffenheim,,West Ham United,6000000,28/01/11
22,Reuben Reid,,West Bromwich Albion,,Oldham Athletic,Free,28/01/11
23,Valon Behrami,,West Ham United,,Fiorentina,Undisclosed,26/01/11
24,Gary O'Neil,,Middlesbrough,,West Ham United,Undisclosed,25/01/11
25,Ryan Babel,,Liverpool,,TSG Hoffenheim,5800000,25/01/11
26,Pascal Chimbonda,,Blackburn Rovers,,QPR,Free,21/01/11
27,Adam Hammill,,Barnsley,,Wolverhampton Wanderers,500000,20/01/11
28,David Wheater,,Middlesbrough,,Bolton Wanderers,2300000,20/01/11
29,Darren Bent,,Sunderland,,Aston Villa,18000000,18/01/11
30,Steven Pienaar,,Everton,,Tottenham Hotspur,3000000,18/01/11
31,Jean Makoun,,Lyon,,Aston Villa,6000000,15/01/11
32,Alan Judge,,Blackburn Rovers,,Notts County,Undisclosed,14/01/11
33,Fredrik Stoor,,Fulham,,Valerenga,Undisclosed,13/01/11
34,Robert Milsom,,Fulham,,Aberdeen,Undisclosed,13/01/11
35,Zac Thompson,,Unattached,,Leeds United,Free,11/01/11
