season,transfer_window,player_name,league_moving_from,club_moving_from,league_moving_to,clusb_moving_to,fee,date
2013-2014,Winter,Abdul Razak,Premier,Manchester City,NoneEPLChamp,Anzhi Makhachkala,Undisclosed,01/01/14
2013-2014,Winter,Rudy Gestede,Premier,Cardiff City,Championship,Blackburn Rovers,Undisclosed,01/01/14
2013-2014,Winter,Tom Cairney,Premier,Hull City,Championship,Blackburn Rovers,500000,01/01/14
2013-2014,Winter,Simon Dawkins,Premier,Tottenham Hotspur,Championship,Derby County,500000,01/01/14
2013-2014,Winter,Liam Ridehalgh,Championship,Huddersfield Town,NoneEPLChamp,Tranmere Rovers,Undisclosed,01/01/14
2013-2014,Winter,Adam Morgan,Premier,Liverpool,Championship,Yeovil Town,Free,01/01/14
2013-2014,Winter,Karleigh Osborne,Championship,Millwall,NoneEPLChamp,Bristol City,Undisclosed,02/01/14
2013-2014,Winter,George Barker,Championship,Brighton & Hove Albion,NoneEPLChamp,Swindon Town,Undisclosed,02/01/14
2013-2014,Winter,Lee Camp,Premier,West Bromwich Albion,NoneEPLChamp,AFC Bournemouth,Free,03/01/14
2013-2014,Winter,Magnus Eikrem,NoneEPLChamp,Heerenveen,Premier,Cardiff City,2000000,03/01/14
2013-2014,Winter,Michael Jacobs,Championship,Derby County,NoneEPLChamp,Wolverhampton Wanderers,300000,03/01/14
2013-2014,Winter,Jason Banton,Premier,Crystal Palace,NoneEPLChamp,Plymouth Argyle,Undisclosed,04/01/14
2013-2014,Winter,Abdoulaye Meite,NoneEPLChamp,Unattached,Championship,Doncaster Rovers,Free,07/01/14
2013-2014,Winter,Scott Wiseman,Championship,Barnsley,NoneEPLChamp,Preston North End,Free,07/01/14
2013-2014,Winter,Nahki Wells,NoneEPLChamp,Bradford City,Championship,Huddersfield Town,1500000,08/01/14
2013-2014,Winter,Gary Fraser,Championship,Bolton Wanderers,NoneEPLChamp,Partick Thistle,Free,08/01/14
2013-2014,Winter,Patrick Madden,Championship,Yeovil Town,NoneEPLChamp,Scunthorpe United,300000,08/01/14
2013-2014,Winter,Dave Syers,Championship,Doncaster Rovers,NoneEPLChamp,Scunthorpe United,50000,09/01/14
2013-2014,Winter,Ashley Barnes,Championship,Brighton & Hove Albion,Championship,Burnley,750000,10/01/14
2013-2014,Winter,Robbie McIntyre,Championship,Huddersfield Town,NoneEPLChamp,Bury,Free,10/01/14
2013-2014,Winter,Mats Daehli,NoneEPLChamp,Molde,Premier,Cardiff City,1000000,10/01/14
