Season,Player_Name,League_Moving_From,Club_Moving_From,League_Moving_To,Club_Moving_To,Fee,Date
2013-2014,Abdul Razak,Premier,Manchester City,NoneEPLChamp,Anzhi Makhachkala,Undisclosed,01/01/14
2013-2014,Rudy Gestede,Premier,Cardiff City,Championship,Blackburn Rovers,Undisclosed,01/01/14
2013-2014,Tom Cairney,Premier,Hull City,Championship,Blackburn Rovers,500000,01/01/14
2013-2014,Simon Dawkins,Premier,Tottenham Hotspur,Championship,Derby County,500000,01/01/14
2013-2014,Liam Ridehalgh,Championship,Huddersfield Town,NoneEPLChamp,Tranmere Rovers,Undisclosed,01/01/14
2013-2014,Adam Morgan,Premier,Liverpool,Championship,Yeovil Town,Free,01/01/14
2013-2014,Karleigh Osborne,Championship,Millwall,NoneEPLChamp,Bristol City,Undisclosed,02/01/14
2013-2014,George Barker,Championship,Brighton & Hove Albion,NoneEPLChamp,Swindon Town,Undisclosed,02/01/14
2013-2014,Lee Camp,Premier,West Bromwich Albion,NoneEPLChamp,AFC Bournemouth,Free,03/01/14
2013-2014,Magnus Eikrem,NoneEPLChamp,Heerenveen,Premier,Cardiff City,2000000,03/01/14
2013-2014,Michael Jacobs,Championship,Derby County,NoneEPLChamp,Wolverhampton Wanderers,300000,03/01/14
2013-2014,Jason Banton,Premier,Crystal Palace,NoneEPLChamp,Plymouth Argyle,Undisclosed,04/01/14
2013-2014,Abdoulaye Meite,NoneEPLChamp,Unattached,Championship,Doncaster Rovers,Free,07/01/14
2013-2014,Scott Wiseman,Championship,Barnsley,NoneEPLChamp,Preston North End,Free,07/01/14
2013-2014,Nahki Wells,NoneEPLChamp,Bradford City,Championship,Huddersfield Town,1500000,08/01/14
2013-2014,Gary Fraser,Championship,Bolton Wanderers,NoneEPLChamp,Partick Thistle,Free,08/01/14
2013-2014,Patrick Madden,Championship,Yeovil Town,NoneEPLChamp,Scunthorpe United,300000,08/01/14
2013-2014,Dave Syers,Championship,Doncaster Rovers,NoneEPLChamp,Scunthorpe United,50000,09/01/14
2013-2014,Ashley Barnes,Championship,Brighton & Hove Albion,Championship,Burnley,750000,10/01/14
2013-2014,Robbie McIntyre,Championship,Huddersfield Town,NoneEPLChamp,Bury,Free,10/01/14
2013-2014,Mats Daehli,NoneEPLChamp,Molde,Premier,Cardiff City,1000000,10/01/14
